region,lat_zone,no_prior_top1,no_prior_top3,no_prior_top5,with_prior_top1,with_prior_top3,with_prior_top5,gain_yes_vs_no_top1,gain_yes_vs_no_top3,gain_yes_vs_no_top5
East,Far North,1.0,1.0,0.7058823704719543,1.0,1.0,0.7941176295280457,0.0,0.0,0.08823525905609131
East,Far North,1.0,1.0,0.7058823704719543,1.0,1.0,0.7941176295280457,0.0,0.0,0.08823525905609131
East,Far North,1.0,1.0,0.7058823704719543,1.0,1.0,0.7941176295280457,0.0,0.0,0.08823525905609131
East,Far North,1.0,1.0,0.7058823704719543,1.0,1.0,0.7941176295280457,0.0,0.0,0.08823525905609131
East,Mid,0.5019920468330383,0.37931033968925476,0.3484486937522888,0.3904382586479187,0.3541114032268524,0.3293555974960327,-0.11155378818511963,-0.025198936462402344,-0.019093096256256104
East,Mid,0.5019920468330383,0.37931033968925476,0.3484486937522888,0.3904382586479187,0.3541114032268524,0.3293555974960327,-0.11155378818511963,-0.025198936462402344,-0.019093096256256104
East,Mid,0.5019920468330383,0.37931033968925476,0.3484486937522888,0.3904382586479187,0.3541114032268524,0.3293555974960327,-0.11155378818511963,-0.025198936462402344,-0.019093096256256104
East,Mid,0.5019920468330383,0.37931033968925476,0.3484486937522888,0.3904382586479187,0.3541114032268524,0.3293555974960327,-0.11155378818511963,-0.025198936462402344,-0.019093096256256104
East_NorthBand,COMBINED,0.16017316281795502,0.11959654092788696,0.10467127710580826,0.31168830394744873,0.1729106605052948,0.15830449759960175,0.1515151411294937,0.05331411957740784,0.05363322049379349
East_NorthBand,COMBINED,0.16017316281795502,0.11959654092788696,0.10467127710580826,0.31168830394744873,0.1729106605052948,0.15830449759960175,0.1515151411294937,0.05331411957740784,0.05363322049379349
East_NorthBand,COMBINED,0.16017316281795502,0.11959654092788696,0.10467127710580826,0.31168830394744873,0.1729106605052948,0.15830449759960175,0.1515151411294937,0.05331411957740784,0.05363322049379349
East_NorthBand,COMBINED,0.16017316281795502,0.11959654092788696,0.10467127710580826,0.31168830394744873,0.1729106605052948,0.15830449759960175,0.1515151411294937,0.05331411957740784,0.05363322049379349
East,North,0.2554112672805786,0.16570605337619781,0.13321799039840698,0.22510822117328644,0.18443803489208221,0.15397924184799194,-0.030303046107292175,0.0187319815158844,0.02076125144958496
East,North,0.2554112672805786,0.16570605337619781,0.13321799039840698,0.22510822117328644,0.18443803489208221,0.15397924184799194,-0.030303046107292175,0.0187319815158844,0.02076125144958496
East,North,0.2554112672805786,0.16570605337619781,0.13321799039840698,0.22510822117328644,0.18443803489208221,0.15397924184799194,-0.030303046107292175,0.0187319815158844,0.02076125144958496
