region,lat_zone,model,horizon,PR_AUC,NAP,Base,ROC_AUC,Brier,BSS,n_samples,n_pos
Midwest,North,GRU_no_prior,7,0.24801637629458345,0.13930687876704897,0.12630459666252136,0.6885803729822159,0.10531379208961196,0.04565357035524764,15043,1900
Midwest,South,GRU_no_prior,7,0.2429203094240985,0.09512654224078926,0.16333086788654327,0.6762503429177543,0.1373727309736371,-0.005260290788448252,4047,661
North East,Far North,GRU_no_prior,7,0.18181159523240414,0.04350384354923399,0.1445983350276947,0.6207653405594267,0.12525050058162915,-0.012619017522934595,1805,261
North East,North,GRU_no_prior,7,0.35396297707957547,0.24991750942163166,0.13871203362941742,0.7226155724210156,0.11472970648755186,0.039685753646125255,30156,4183
NorthEast_NorthBand,COMBINED,GRU_no_prior,7,0.31795000088674835,0.20779881154780686,0.13904446363449097,0.7101819791493268,0.11756032995844508,0.017966324989332816,31961,4444
South,Far North,GRU_no_prior,7,0.31940404886346185,0.21393392391284244,0.1341746300458908,0.7710272958474885,0.112986293979718,0.027420605017553723,14660,1967
South,Mid,GRU_no_prior,7,0.3774167749788681,0.24231000750720644,0.17831404507160187,0.6959561378322229,0.14286172929695057,0.024955406733509156,30250,5394
South,North,GRU_no_prior,7,0.10220150278019341,0.08056855777049315,0.023528611287474632,0.7665727584004156,0.022602863214292224,0.01619812726009695,44074,1037
South,South,GRU_no_prior,7,0.27443567759188336,0.11655624900004442,0.17870908975601196,0.651122962043135,0.14987035915871286,-0.021108939613321054,12193,2179
West,Far North,GRU_no_prior,7,0.21128407668815968,0.06999437387536522,0.15192349255084991,0.612577388522674,0.13082844109835254,-0.01541176790145582,32207,4893
West,Mid,GRU_no_prior,7,0.6223762183559742,0.3159488239248281,0.4479597508907318,0.713900313942527,0.23753806220126034,0.03944226629379788,324518,145371
West,North,GRU_no_prior,7,0.41291170492087254,0.20083965952207505,0.26536858081817627,0.6792997165838337,0.1951063875048133,-0.0008119650062119455,116325,30869
Central West,Far North,GRU_no_prior,14,0.2698612776040509,0.11043540038187047,0.1792178750038147,0.6469227964664978,0.14867511745740095,-0.010715842110238016,22375,4010
Central West,Mid,GRU_no_prior,14,0.36837004914780563,0.2299118730958464,0.17979523539543152,0.7511907919515799,0.13694946914875916,0.0713332734943194,47860,8605
Central West,North,GRU_no_prior,14,0.26041000742657544,0.13418014798120378,0.14579229056835175,0.7292677735924886,0.11939771532469497,0.04126633720155315,24871,3626
Central West,South,GRU_no_prior,14,0.2910026728171475,0.1272056818596168,0.18766963481903076,0.6040385411941064,0.1583143942979441,-0.03846938819764878,2579,484
CentralWest_Mid+South,COMBINED,GRU_no_prior,14,0.3498648071926369,0.20671144962600188,0.18045559525489807,0.7240093760262309,0.13898346474609086,0.06023279921818603,50439,9102
East,Far North,GRU_no_prior,14,0.4111384292465352,0.2977357565056412,0.16148148477077484,0.6027652608033196,0.14979195742252446,-0.10624956398738461,675,109
East,Mid,GRU_no_prior,14,0.26982900464980913,0.11077941159267218,0.17886404693126678,0.6178434394491245,0.16310584622937013,-0.11053281793220693,25142,4497
East,North,GRU_no_prior,14,0.09877034123984882,0.051116851948881444,0.050220608711242676,0.6621531662563235,0.04743009846895277,0.005627000057446541,23118,1161
East,South,GRU_no_prior,14,0.2715799353668845,0.09393515997692743,0.1960618793964386,0.5412140704990798,0.16213792779802258,-0.028652831318267902,3555,697
East_NorthBand,COMBINED,GRU_no_prior,14,0.07831892578022048,0.02958404586021934,0.050220608711242676,0.6176334709800225,0.04797391191372492,-0.005774060111997548,23118,1161
Midwest,Far North,GRU_no_prior,14,0.4645709318201746,0.34662380270548915,0.1805194765329361,0.7853194141863002,0.13195863305798491,0.10797895837280924,16170,2919
Midwest,Mid,GRU_no_prior,14,0.27241301196995465,0.10761827367824586,0.1846684366464615,0.6372235854546133,0.14722070852088434,0.022218167706179903,19137,3534
Midwest,North,GRU_no_prior,14,0.2633288005907774,0.1394060465851994,0.14399677515029907,0.6847131298697834,0.11670209412181358,0.053216971015728975,14917,2148
Midwest,South,GRU_no_prior,14,0.22639311661654837,0.06894760460776395,0.16910488903522491,0.6546796115485288,0.1435722378962624,-0.021805206880898043,4033,682
North East,Far North,GRU_no_prior,14,0.1795686271892682,0.036513582758363354,0.14847645163536072,0.5892961186261276,0.12868298814519838,-0.01781040904397968,1805,268
North East,North,GRU_no_prior,14,0.2537879166452667,0.11916021683608051,0.15284016728401184,0.6443477418363552,0.13092928413077973,-0.011192693159467249,30051,4593
