threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,tpr,tnr,fpr,tag
0.6666666666666666,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.7,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.7333333333333333,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.7666666666666666,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.8,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.8333333333333334,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.8666666666666667,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.9,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.9333333333333332,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.9666666666666668,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
1.0,0,0,4010,18365,0.0,0.0,0.0,0.8207821229050279,0.0,1.0,0.0,CentralWest_FarNorth
0.0,8605,39255,0,0,0.1797952361053071,1.0,0.3047905782343044,0.1797952361053071,1.0,0.0,1.0,CentralWest_Mid
0.0333333333333333,8534,33930,71,5325,0.2009702336096458,0.9917489831493318,0.3342144941158041,0.2895737567906393,0.9917489831493318,0.1356515093618647,0.8643484906381352,CentralWest_Mid
0.0666666666666666,7804,24532,801,14723,0.2413409203364671,0.90691458454387,0.3812315282968174,0.470685332218972,0.90691458454387,0.3750605018468985,0.6249394981531016,CentralWest_Mid
