threshold,tp,fp,fn,tn,precision,recall,f1,accuracy,tpr,tnr,fpr,tag
0.8,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.8333333333333334,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.8666666666666667,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.9,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.9333333333333332,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.9666666666666668,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
1.0,0,0,3709,18673,0.0,0.0,0.0,0.8342864802073094,0.0,1.0,0.0,CentralWest_FarNorth
0.0,7910,39964,0,0,0.1652253832978234,1.0,0.2835938620392944,0.1652253832978234,1.0,0.0,1.0,CentralWest_Mid
0.0333333333333333,7778,31383,132,8581,0.1986159699701233,0.9833122629582808,0.3304794884323682,0.3417094874044366,0.9833122629582808,0.2147182464217796,0.7852817535782204,CentralWest_Mid
0.0666666666666666,7153,21965,757,17999,0.2456556082148499,0.904298356510746,0.3863562709301069,0.5253791201905,0.904298356510746,0.4503803423080773,0.5496196576919228,CentralWest_Mid
0.1,5971,14255,1939,25709,0.2952140808859883,0.7548672566371681,0.4244384418538526,0.6617370597819275,0.7548672566371681,0.6433039735762186,0.3566960264237814,CentralWest_Mid
0.1333333333333333,4460,9121,3450,30843,0.3283999705470878,0.5638432364096081,0.4150574659159649,0.7374148807285792,0.5638432364096081,0.7717695926333701,0.2282304073666299,CentralWest_Mid
0.1666666666666666,3256,5945,4654,34019,0.3538745788501249,0.4116308470290771,0.3805738998305183,0.778606341646823,0.4116308470290771,0.8512411170053048,0.1487588829946952,CentralWest_Mid
0.2,2219,3743,5691,36221,0.3721905400872191,0.2805309734513274,0.3199250288350634,0.8029410535990308,0.2805309734513274,0.9063407066359724,0.0936592933640276,CentralWest_Mid
0.2333333333333333,1486,2278,6424,37686,0.3947927736450584,0.1878634639696586,0.2545828336474217,0.8182311902076284,0.1878634639696586,0.942998698828946,0.0570013011710539,CentralWest_Mid
0.2666666666666666,1005,1355,6905,38609,0.4258474576271186,0.1270543615676359,0.1957156767283349,0.8274637590341313,0.1270543615676359,0.9660944850365328,0.0339055149634671,CentralWest_Mid
0.3,701,841,7209,39123,0.4546044098573281,0.088621997471555,0.1483283961066441,0.8318502736349584,0.088621997471555,0.978956060454409,0.021043939545591,CentralWest_Mid
0.3333333333333333,482,437,7428,39527,0.5244831338411317,0.0609355246523388,0.109185638237626,0.8357145841166395,0.0609355246523388,0.9890651586427786,0.0109348413572215,CentralWest_Mid
0.3666666666666666,360,218,7550,39746,0.6228373702422145,0.04551201011378,0.0848256361922714,0.8377407360989263,0.04551201011378,0.9945450905815234,0.0054549094184766,CentralWest_Mid
0.4,288,99,7622,39865,0.7441860465116279,0.036409608091024,0.0694226828974328,0.838722479842921,0.036409608091024,0.997522770493444,0.0024772295065559,CentralWest_Mid
0.4333333333333333,203,55,7707,39909,0.7868217054263565,0.0256637168141592,0.0497061704211557,0.8378660650875214,0.0256637168141592,0.9986237613852468,0.0013762386147532,CentralWest_Mid
0.4666666666666667,142,31,7768,39933,0.8208092485549133,0.0179519595448798,0.035135469503897,0.8370932029911852,0.0179519595448798,0.9992243018716844,0.0007756981283154,CentralWest_Mid
0.5,0,0,7910,39964,0.0,0.0,0.0,0.8347746167021766,0.0,1.0,0.0,CentralWest_Mid
0.5333333333333333,0,0,7910,39964,0.0,0.0,0.0,0.8347746167021766,0.0,1.0,0.0,CentralWest_Mid
0.5666666666666667,0,0,7910,39964,0.0,0.0,0.0,0.8347746167021766,0.0,1.0,0.0,CentralWest_Mid
0.6,0,0,7910,39964,0.0,0.0,0.0,0.8347746167021766,0.0,1.0,0.0,CentralWest_Mid
0.6333333333333333,0,0,7910,39964,0.0,0.0,0.0,0.8347746167021766,0.0,1.0,0.0,CentralWest_Mid
0.6666666666666666,0,0,7910,39964,0.0,0.0,0.0,0.8347746167021766,0.0,1.0,0.0,CentralWest_Mid
0.7,0,0,7910,39964,0.0,0.0,0.0,0.8347746167021766,0.0,1.0,0.0,CentralWest_Mid
